name,description,instruction,ingredients,meal_type,allergen,total_calories,protein,carbs,fats,meal_difficulty,meal_cooking_time,meal_cooking_method,country_origin,diet_type
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,dairy allergy,593,20.9,68.07,8.31,hard,37 min,frying,Japan,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,dairy allergy,294,16.7,55.14,21.6,easy,45 min,grilling,Japan,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,dairy allergy,318,15.77,48.08,8.35,medium,43 min,grilling,Greece,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,dairy allergy,588,31.45,91.56,23.5,easy,50 min,roasting,Greece,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,dairy allergy,524,20.5,27.27,15.11,medium,38 min,raw,Mexico,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,dairy allergy,685,18.78,73.46,8.53,easy,44 min,roasting,USA,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,dairy allergy,688,38.64,61.18,25.61,easy,35 min,roasting,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,dairy allergy,746,17.79,72.59,28.13,hard,11 min,frying,Greece,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,dairy allergy,463,32.7,98.39,8.8,medium,53 min,frying,Mexico,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,dairy allergy,254,39.3,53.32,7.09,hard,21 min,steaming,France,"['vegan', 'gluten_free']"
